,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country
96,baghdad,33.34,44.4,78.8,34.0,0.0,5.82,IQ
97,visby,57.64,18.3,63.0,93.0,89.0,6.93,SE
98,christchurch,-43.53,172.63,52.0,71.0,99.0,17.22,NZ
99,barcelos,41.54,-8.62,68.0,100.0,75.0,8.05,PT
100,emerald,-23.53,148.17,64.4,34.0,0.0,5.82,AU
101,kavieng,-2.57,150.8,83.26,74.0,4.0,9.73,PG
102,egvekinot,66.32,-179.17,50.14,76.0,90.0,3.67,RU
103,strezhevoy,60.73,77.59,57.2,93.0,90.0,6.71,RU
104,necochea,-38.55,-58.74,41.0,79.0,0.0,1.99,AR
105,adrar,20.5,-10.07,100.24,26.0,0.0,16.6,MR
106,batagay-alyta,67.8,130.41,48.7,54.0,67.0,1.9,RU
107,kiama,-34.68,150.87,62.01,58.0,61.0,1.99,AU
108,hami,42.8,93.45,73.49,21.0,0.0,8.84,CN
110,vrangel,42.73,133.08,70.93,86.0,97.0,1.34,RU
111,jhabua,22.77,74.6,76.12,92.0,99.0,10.76,IN
112,fairbanks,64.84,-147.72,69.8,32.0,1.0,6.93,US
113,rovaniemi,66.5,25.72,46.4,75.0,77.0,5.82,FI
114,yumen,40.28,97.2,56.07,35.0,0.0,1.01,CN
115,oga,46.46,10.35,55.4,100.0,40.0,1.12,IT
116,castro,-24.79,-50.01,60.64,95.0,100.0,7.11,BR
117,baruun-urt,46.68,113.28,53.26,82.0,100.0,15.23,MN
118,khatanga,71.97,102.5,58.75,89.0,100.0,7.09,RU
119,cooma,-36.23,149.13,44.6,75.0,90.0,10.29,AU
120,kulhudhuffushi,6.62,73.07,82.27,76.0,96.0,8.55,MV
121,sibolga,1.74,98.78,75.6,82.0,48.0,4.52,ID
122,lebu,-37.62,-73.65,49.19,83.0,57.0,5.73,CL
123,gazalkent,41.56,69.77,73.4,40.0,40.0,13.87,UZ
124,takoradi,4.88,-1.76,75.07,83.0,85.0,12.3,GH
125,tuktoyaktuk,69.45,-133.04,53.6,71.0,90.0,3.36,CA
126,ilebo,-4.32,20.58,78.21,58.0,83.0,1.81,CD
127,lavrentiya,65.58,-171.0,50.27,78.0,100.0,3.96,RU
128,musenita,47.97,26.0,68.0,10.0,37.0,3.11,RO
129,nizwa,22.93,57.53,89.46,41.0,23.0,0.54,OM
130,esmeralda,21.85,-78.12,77.0,100.0,93.0,2.24,CU
